src_ip,dst_ip,src2dst_packets,dst2src_packets,src2dst_ip_bytes,dst2src_ip_bytes,src2dst_mean_piat_ms,dst2src_mean_piat_ms,src2dst_mean_ip_ps,dst2src_mean_ip_ps,src_port,dst_port,protocol,src2dst_stdev_piat_ms,dst2src_stdev_piat_ms,src2dst_stdev_ip_ps,dst2src_stdev_ip_ps,Class
192.168.0.18,192.16.65.133,17476,37854.0,941904,53889936.0,2.857239617375812,4.174496592549229,53.897001602197285,1423.6259312093835,53373,443,6,29.261415408183662,22.281923075934444,127.45674985362841,298.70867211709566,1
192.168.0.18,192.16.65.103,14614,31331.0,777612,44892976.0,3.0726441998989236,4.505100831927336,53.21007253318736,1432.8612556254184,53015,443,6,68.68780674393182,55.01095403038254,121.89325095449423,280.1904373359274,1
192.168.0.18,192.16.65.166,13787,30630.0,737033,44795449.0,2.7234957170785163,3.9479604002466573,53.458547907449045,1462.46976820111,53800,443,6,20.859767092485807,16.20622037146359,120.18510452681645,210.983350973554,1
192.168.0.18,192.16.65.179,13931,28526.0,791380,40642062.0,3.7711023140308924,5.608012797763452,56.80712080970498,1424.7375026291807,53058,443,6,69.06407552136446,52.32310974188244,137.08527493165622,294.3166571793912,1
192.168.0.18,192.16.65.173,12455,26701.0,674339,38888112.0,3.215919167784497,4.7083715254758385,54.14203131272581,1456.4290476012134,53769,443,6,25.70802139739144,19.885797963118215,125.93254289110938,228.53906416069648,1
192.168.0.18,192.16.65.161,12321,27167.0,592730,38440794.0,2.9964668141821327,4.3536599938166605,48.107296485674865,1414.9811904148416,54042,443,6,17.90009439135254,13.769764457188316,92.17285441399912,315.66520988506363,1
192.168.0.18,192.16.65.44,12834,26813.0,709159,38055630.0,3.633745508566357,5.367074218870645,55.25627240143368,1419.2977287136835,53094,443,6,75.7418948786143,58.124165618999776,131.74335595130682,304.31119807035236,1
192.168.0.18,192.16.65.189,11449,25884.0,637515,36501194.0,3.0949091740802532,4.458728022303468,55.68302908550965,1410.1836655849177,53472,443,6,26.19260156721765,19.96619228821017,133.03899421356346,322.73543604203894,1
192.168.0.18,192.16.65.120,11000,24890.0,592463,34999976.0,2.7320280059391746,3.937673204727757,53.86027272727273,1406.1862595419848,53276,443,6,18.84133813691288,13.692632038003524,129.35787716787937,327.9312426402656,1
192.168.0.18,192.16.65.187,10952,24046.0,615021,33880117.0,3.323434458195089,4.836167133480104,56.15604455807159,1408.9710138900439,53955,443,6,22.136283100819508,16.896242595610634,137.17534296935128,322.79708414305753,1
192.168.0.18,192.16.65.137,9320,21351.0,463218,31228430.0,1.787934793475586,2.565820191114336,49.701502145922746,1462.6214228841739,53639,443,6,10.787041516872163,8.795721800613613,102.24810017384121,212.61301837264458,1
192.168.0.18,192.16.65.43,8616,21856.0,452292,30900486.0,2.2863898965185108,3.182752338806672,52.49442896935933,1413.8216508052708,53518,443,6,24.16139903648007,19.51997622041384,118.71506021320192,317.6072328451404,1
192.168.0.18,192.16.65.189,9625,20944.0,559918,29771106.0,3.9127432484030256,5.697433107494853,58.17329870129871,1421.4622803666919,53703,443,6,30.43329343290528,22.638030487609452,147.74163370965042,301.0954654054014,1
192.168.0.18,192.16.65.182,7184,17309.0,347218,25878374.0,2.550288475364264,3.6025496480700343,48.33212694877506,1495.0819804725863,53011,443,6,57.15411250151104,42.40644350209813,90.07380321583862,76.75231931613605,1
192.168.0.18,192.16.65.28,8189,18163.0,450121,25763420.0,3.1982300055420128,4.6362765447188865,54.96654048113322,1418.4562021692452,54164,443,6,25.79760541396166,19.595935031116532,130.61833316895206,308.1199329389732,1
192.168.0.18,192.16.65.188,8306,18377.0,460427,25480682.0,3.223305572918917,4.679293849687879,55.43306043823742,1386.5528649942864,53162,443,6,23.099447092243455,16.381914024893128,135.10634853013963,357.7579332426385,1
192.168.0.18,192.16.65.125,11855,23874.0,606032,34229797.0,14.140965075080128,6.178905039165567,51.120371151413146,1433.768828013739,52243,443,6,236.25527070656986,178.10747172782754,107.53868931949093,280.62204461070735,1
192.168.0.18,99.181.97.182,6007,15700.0,308743,23141925.0,8.359973359973358,3.196381935155112,51.397203262859875,1474.007961783439,52303,443,6,68.77846967879185,44.59599904989649,115.0697947096224,177.10968062457604,1
192.168.0.18,99.181.97.148,5948,15184.0,317195,22082099.0,24.707583655624667,8.252453401831017,53.328009414929454,1454.3005136986292,52174,443,6,331.9955191145495,208.36701014622685,121.58644111271995,232.81066701425758,1
192.168.0.18,192.16.65.142,5470,11780.0,273314,16865961.0,6.504479795209358,3.020205450377789,49.96599634369308,1431.745415959257,52342,443,6,32.244667309585,23.245285185034252,103.23862765170573,283.41090281393747,1
192.168.0.18,192.16.65.140,3948,9123.0,195002,13628981.0,27.727894603496303,9.625082218811677,49.39260385005064,1493.914392195548,52232,443,6,396.25277760303965,261.1815590646434,81.94792395599399,85.8565392639949,1
192.168.0.18,192.16.65.100,4158,9110.0,208457,13185744.0,20.34856867933605,9.286200461082444,50.13395863395858,1447.3923161361167,52226,443,6,380.78541556299416,257.60977527883847,98.01004448561585,251.95471624589047,1
192.168.0.18,192.16.65.104,4522,8934.0,218964,12894173.0,10.594558725945596,5.361132878092477,48.42193719593092,1443.2698679203054,52246,443,6,174.79354055554646,127.7148528176874,87.44707116430885,260.44325775978734,1
192.168.0.18,192.16.65.176,4243,8915.0,232888,12544813.0,9.599009900990135,4.565963652681156,54.88757954277619,1407.1579360628134,52235,443,6,33.702811302703424,25.947066816495767,127.52637483666685,328.35842571110413,1
192.168.0.18,99.181.97.70,3670,8409.0,178851,12542945.0,28.81030253475061,10.280328258801143,48.73324250681198,1491.6095849684893,52299,443,6,405.72236041172266,268.5435122454243,79.93864137207841,101.62326257372808,1
192.168.0.18,99.181.97.68,3245,8216.0,155092,12237377.0,34.944821208384674,11.360194765672565,47.79414483821257,1489.4567916260962,52135,443,6,444.6094154726459,280.0916471426549,89.87976365077179,115.29742673278679,1
192.168.0.18,192.16.65.189,3977,8414.0,217840,11629975.0,24.638581488933575,11.644003328182576,54.77495599698275,1382.2171381031603,52158,443,6,387.6422053991177,266.94613909565186,126.67097978273888,366.4727792164852,1
192.168.0.18,99.181.97.40,3081,8302.0,162370,11568412.0,11.606168831168887,4.3026141428743525,52.700421940928145,1393.4488075162626,52141,443,6,31.827529711640725,21.158939075577198,124.20115974092505,349.92011096151384,1
192.168.0.18,192.16.65.154,4651,8083.0,269100,11451497.0,20.83182795698926,11.98577084879983,57.85852504837679,1416.7384634417858,52323,443,6,360.2260608342557,273.6098461276364,115.87331505495152,311.13653350026084,1
192.168.0.18,99.181.97.106,2959,7946.0,158089,11343999.0,30.437119675456387,11.332284455632474,53.42649543764786,1427.636420840677,52152,443,6,449.2855244913909,274.7615094141068,121.0655388345169,292.36601813708694,1
192.168.0.18,192.16.65.161,3408,7772.0,194773,10818689.0,12.009098914000587,5.26367262900529,57.15170187793426,1392.0083633556326,52162,443,6,40.947342830634405,30.433146629013038,136.07107054819485,351.15195256731766,1
192.168.0.18,99.181.97.41,2732,7485.0,155836,10429390.0,11.752105455876947,4.286076964190253,57.04099560761347,1393.3720774883082,52178,443,6,34.59517410814347,23.96563229641674,139.92966979657388,352.5830227281426,1
192.168.0.18,192.16.65.163,3316,7116.0,184505,10055079.0,28.39155354449473,13.228531271960652,55.64083232810617,1413.0240303541325,52233,443,6,427.65643157229323,292.62845515211035,129.87591854376845,319.31970222082464,1
192.168.0.18,192.16.65.188,3346,6824.0,174750,9750948.0,25.817040358744393,12.659387366261187,52.22653915122521,1428.9196951934325,52346,443,6,424.38342554182185,297.6520880586719,113.01454631207248,290.4723681981526,1
192.168.0.18,192.16.65.164,3076,6739.0,145001,9434255.0,27.66634146341464,12.628970020777679,47.139466840052,1399.9488054607489,52319,443,6,441.4289041795222,298.55085015273164,82.7591768668777,341.77825643444424,1
192.168.0.18,192.16.65.177,3753,6433.0,214006,9167992.0,6.765724946695096,3.9424751243781078,57.022648547828474,1425.1503186693585,52325,443,6,19.26071024837089,16.189808277230888,106.04955075867923,297.52022529441973,1
192.168.0.18,99.181.97.70,2519,6493.0,158611,9083457.0,49.2847498014297,16.013401109057316,62.96585946804285,1398.9614969967645,52208,443,6,491.3393756607417,305.8491974860333,162.50919331716287,338.07370544049456,1
192.168.0.18,192.16.65.134,3002,6459.0,174471,8869558.0,12.50683105631457,5.811396717249908,58.11825449700203,1373.209165505497,52349,443,6,34.0193675718374,25.33103819895449,143.0128762697899,377.17057955926697,1
192.168.0.18,99.181.97.125,2548,6375.0,130204,8749354.0,7.774244208873175,3.093661750862884,51.10047095761388,1372.4476862745062,52377,443,6,56.958796281603576,38.28247165419165,111.40934661211423,377.5685813484603,1
192.168.0.18,99.181.97.137,2188,5716.0,130660,8051663.0,52.496570644718794,16.562204724409455,59.71663619744065,1408.6184394681625,52189,443,6,519.8021029403676,321.10793843619774,149.0934721133494,324.2023046665308,1
192.168.0.18,99.181.97.36,2062,5513.0,121742,7917843.0,13.275594371664257,4.964804063860674,59.040737148399636,1436.213132595685,52197,443,6,43.43480474572743,30.92904638618832,152.91965362523402,274.74268426310385,1
192.168.0.18,192.16.65.177,2344,5614.0,132106,7775618.0,11.232180964575345,4.6794940317120854,56.359215017064884,1385.04061275383,52156,443,6,49.187860717826254,34.09020257980465,135.39842652578184,363.3295032643631,1
192.168.0.18,99.181.97.37,1971,5463.0,108776,7662847.0,9.807614213197963,3.536433540827544,55.188229325215616,1402.6811275855762,52366,443,6,37.343967484173604,25.32429565670521,130.04921201860503,337.0670377525265,1
192.168.0.18,99.181.97.101,2104,5284.0,125272,7511768.0,43.32667617689014,17.229036532273327,59.53992395437263,1421.606358819076,52278,443,6,531.8454740478738,336.43113715370436,149.98837591097111,302.5860622163154,1
192.168.0.18,99.181.97.168,1710,4912.0,91038,7279577.0,60.688121708601535,17.03767053553247,53.23859649122804,1481.998574918566,52281,443,6,597.2170332763418,351.6754023257929,122.40545163111788,151.07637762874415,1
192.168.0.18,99.181.97.60,1752,4649.0,93707,6638313.0,36.66133637921188,11.638769363166956,53.48573059360732,1427.9012690901266,52362,443,6,481.4620565412357,296.55190468103666,119.88426658571305,290.6257077360817,1
192.168.0.18,99.181.97.102,1802,4959.0,117233,6582215.0,18.05941143808998,6.555062525211771,65.0571587125416,1327.327082072998,52194,443,6,36.86284370606593,25.35401343301909,171.59877455730356,430.57123362724167,1
192.168.0.18,192.16.65.37,1827,4427.0,96002,6364951.0,7.296823658269433,3.0101671938545067,52.54625068418171,1437.7571718997076,52317,443,6,32.83293636660098,23.691961699006267,115.89779754273087,271.08815635007653,1
192.168.0.18,192.16.65.138,1967,4576.0,113790,6077779.0,12.645473041709055,5.43846994535519,57.84951703101166,1328.185970279726,52350,443,6,31.849358326450652,22.55664990698199,141.1415266597105,431.97720966480455,1
192.168.0.18,192.16.65.108,1619,3793.0,100873,5413796.0,58.16625463535229,19.12104430379747,62.30574428659682,1427.3124176113877,52344,443,6,611.0713734045603,398.5048565135783,159.04405725675056,291.521226902048,1
192.168.0.18,99.181.97.169,1455,3676.0,78027,5246310.0,49.10866574965613,19.429387755102038,53.626804123711366,1427.1789989118586,52298,443,6,641.6022768393448,404.34551862046067,120.4013586987524,294.0140938908424,1
192.168.0.18,99.181.97.74,1111,2735.0,62461,3989198.0,85.91531531531528,27.50658376005852,56.220522052205276,1458.5733089579528,52120,443,6,704.6296174583703,493.1607168445929,132.39530955770434,222.37838629327274,1
192.168.0.18,99.181.97.99,1135,2440.0,62504,3548938.0,24.240740740740733,11.273062730627306,55.069603524229095,1454.4827868852453,52370,443,6,424.937841129928,291.41757864557707,129.91127585980232,233.5422411114828,1
192.168.0.18,99.181.97.106,879,2338.0,56676,3411524.0,26.38838268792711,9.916131792896882,64.47781569965868,1459.1633875106893,52290,443,6,349.88411921295733,235.7532136013987,172.94687360701215,218.99769107792665,1
192.168.0.18,99.181.97.164,815,1951.0,64702,2615170.0,128.24201474201473,43.660000000000004,79.38895705521469,1340.4254228600694,52125,443,6,867.6263849080311,569.3057997937573,209.1313956921446,416.8532318110245,1
192.168.0.18,99.181.97.47,682,1765.0,35616,2626846.0,12.621145374449348,4.953514739229028,52.222873900293294,1488.298016997167,52136,443,6,107.45349373995,70.17587575802202,106.45032293429271,116.67475006753477,1
192.168.0.18,99.181.97.145,912,1496.0,60286,2195044.0,37.15806805708009,22.62876254180604,66.10307017543867,1467.2754010695205,52334,443,6,32.28178199187874,33.52384277313058,164.3952904991911,196.6725892978224,1
192.168.0.18,13.226.50.28,527,923.0,24691,1363474.0,268.1863117870725,152.93492407809106,46.8519924098672,1477.219934994584,52164,443,6,3749.5774269865296,2836.497720470809,39.61863004677488,173.8576048394674,1
192.168.0.18,99.181.97.51,298,812.0,31194,1103668.0,45.65993265993263,16.638717632552424,104.67785234899333,1359.197044334976,52357,443,6,214.47110191842532,132.92155462632624,283.07570624733216,393.69018418758566,1
192.168.0.18,99.181.97.36,479,732.0,36136,1044646.0,198.25104602510464,102.17373461012312,75.44050104384134,1427.112021857923,52336,443,6,1115.2909567124846,887.0752272586769,197.20502072015802,297.2595185356815,1
192.168.0.18,52.223.241.8,164,227.0,42577,302059.0,189.0981595092024,136.3761061946903,259.61585365853654,1330.6563876651992,52327,443,6,412.01708304994673,385.22210061771705,490.5212752418705,412.71004412683794,1
192.168.0.18,35.162.64.28,878,624.0,127109,195935.0,341.95324971493716,481.0545746388448,144.77107061503406,313.9983974358978,52104,443,6,1913.965751638776,2281.867705480017,84.83590025286762,448.5290404844944,1
192.168.0.18,52.223.241.20,117,220.0,36997,273705.0,534.6120689655171,195.25570776255705,316.2136752136754,1244.113636363636,52302,443,6,794.1619248320964,603.7965347818084,543.4597315453797,484.4877545285189,1
192.168.0.18,52.223.241.21,169,211.0,38117,271140.0,344.1190476190477,183.63809523809527,225.5443786982249,1285.023696682465,52332,443,6,564.4539822709602,518.2256279002637,459.8411081504116,484.55716101708396,1
192.168.0.18,52.223.241.5,121,215.0,35434,272559.0,301.81666666666666,169.23364485981318,292.8429752066115,1267.716279069767,52277,443,6,669.0390196422937,547.2744516560945,523.7255484867442,488.97824853207084,1
192.168.0.18,52.223.241.17,85,198.0,39486,246499.0,499.9642857142856,213.12182741116752,464.5411764705883,1244.9444444444443,52279,443,6,819.5779467246025,741.5002754899997,629.3744164028349,515.9316268638905,1
192.168.0.18,52.223.241.8,47,61.0,9660,66233.0,638.8695652173914,169.05000000000007,205.53191489361708,1085.7868852459017,53677,443,6,840.1479432233722,618.459333028591,432.79761567412766,626.0474719687556,1
192.168.0.18,199.232.50.167,53,86.0,5698,69059.0,5744.557692307692,3514.270588235295,107.5094339622642,803.0116279069765,53337,443,6,4920.326947583479,4786.705593392509,206.60344984102247,683.5693948022101,1
192.168.0.18,52.223.241.17,46,54.0,9444,63782.0,640.6222222222221,180.3962264150944,205.3043478260869,1181.1481481481485,52997,443,6,872.9060659658631,665.9132058142368,423.48112221156373,583.2702020345387,1
192.168.0.18,52.223.241.5,20,56.0,8129,63962.0,354.3684210526316,121.32727272727276,406.45,1142.1785714285713,53425,443,6,490.6780128360163,363.2875636077485,581.4887856998937,601.3094833820555,1
192.168.0.18,52.223.241.20,30,55.0,8526,62601.0,331000.0,177.77777777777786,284.2000000000001,1138.1999999999996,53002,443,6,854.9790724255852,656.0620560462612,495.63114761156686,581.9402222069051,1
192.168.0.18,52.223.241.8,31,49.0,8614,61835.0,84.53333333333335,53.58333333333333,277.8709677419355,1261.938775510204,53560,443,6,126.27712636767654,141.68767470433187,494.23022583511846,495.0067932262507,1
192.168.0.18,52.223.241.8,28,51.0,8449,60305.0,316.92592592592587,171.14000000000001,301.75000000000006,1182.4509803921574,53507,443,6,807.7800503148178,625.2547892088244,519.5113533853677,595.5455083778397,1
192.168.0.18,192108239254,30,56.0,12884,55686.0,2093.7241379310344,1103.7818181818177,429.46666666666664,994.3928571428572,53129,443,6,3569.756113083434,2800.6405926667803,584.9033361536573,674.0763560356006,1
192.168.0.18,52.223.241.17,29,51.0,8444,60082.0,379.0357142857141,210.01999999999998,291.17241379310343,1178.0784313725492,53503,443,6,870.1831855736048,699.8873230013237,509.07605865679534,594.712328546744,1
192.168.0.18,52.223.241.14,19,46.0,7017,53762.0,238.33333333333331,92.55555555555556,369.31578947368416,1168.7391304347825,53107,443,6,554.8478328758786,389.8534430663746,581.1979059218583,579.058562948232,1
192.168.0.18,99.181.97.98,3415,8789.0,171047,13047875.0,7.283245459871113,2.825216203914428,50.08696925329424,1484.5687791557607,53087,443,6,56.938504466143065,37.668562821328734,100.4289003311002,135.65186760401082,1
192.168.0.18,192.16.65.158,3303,6878.0,175258,9834997.0,6.513930950938827,3.119965101061505,53.060248259158236,1429.9210526315833,53360,443,6,14.30814703401115,10.992527664502866,109.71282790302999,287.45150076958964,1
192.168.0.18,192.16.65.169,3810,6433.0,190808,9613987.0,6.453399842478326,3.821050995024865,50.08083989501318,1494.4795585263473,53550,443,6,114.09096324208286,89.50375901714175,66.10320161435632,81.97422499624737,1
192.168.0.18,99.181.97.72,2264,6355.0,110700,9363693.0,5.78435704816615,2.063739376770536,48.89575971731446,1473.4371361132987,53498,443,6,44.77095045368982,29.04230099724015,97.56270041507472,180.15885151098868,1
192.168.0.18,99.181.97.182,2315,5911.0,122394,8486468.0,7.361279170267923,2.8812182741116716,52.86997840172796,1435.707663677889,53224,443,6,19.088661211902732,14.008764845901744,119.44716697049354,275.38753215570296,1
192.168.0.18,99.181.97.57,1780,5820.0,100172,8305801.0,10.554806070826311,3.227874205189889,56.27640449438202,1427.113573883163,53434,443,6,34.35698423623393,22.53162415605329,135.74670972524638,293.7166380531868,1
192.168.0.18,99.181.97.47,2051,5199.0,96996,7761638.0,43.41902439024391,13.24143901500577,47.29205265724025,1492.9097903442969,53153,443,6,540.0227257361013,338.10337110197065,72.18795271578723,93.84497286804036,1
192.168.0.18,192.16.65.151,2538,5017.0,139127,7322148.0,37.805675995269965,15.053030303030303,54.81757289204098,1459.4674108032714,53278,443,6,488.0724872038877,347.0138167447409,103.55727401433779,221.51939393715497,1
192.168.0.18,99.181.97.133,2209,5071.0,114742,7325592.0,7.582880434782613,3.301972386587779,51.942960615663175,1444.6050088739926,53111,443,6,33.931384379222486,25.06078890843982,123.10080927855492,258.05634058807243,1
192.168.0.18,192.16.65.30,2420,4501.0,129682,6533149.0,4.285241835469211,2.29844444444444,53.58760330578507,1451.4883359253513,53288,443,6,11.386858167656468,9.432840594820222,94.45367031691757,240.67777104466896,1
192.168.0.18,99.181.97.97,1471,4226.0,80582,6133217.0,9.325170068027212,3.230532544378692,54.78042148198504,1451.3054898248938,53451,443,6,36.136310357886174,24.78517292071411,126.34044298952033,241.92496103589957,1
192.168.0.18,192.16.65.152,1311,3042.0,70586,4269536.0,6.882442748091596,2.964156527458078,53.841342486651385,1403.5292570677175,53691,443,6,16.953761234677362,12.310071468505024,118.3084498774066,333.86382685458227,1
192.168.0.18,192.16.65.187,1175,2784.0,66516,4151544.0,11.10562180579215,4.687387711103122,56.60936170212758,1491.2155172413807,53629,443,6,159.3875503970285,106.46738518244727,114.8290696839502,102.41380816395252,1
192.168.0.18,99.181.97.164,868,2604.0,51413,3757642.0,9.625144175317173,3.2082212831348467,59.23156682027653,1443.0268817204267,53158,443,6,25.430001100175748,16.312559400141478,146.72461024491258,259.4008508630209,1
192.168.0.18,192.16.65.160,1304,2597.0,73954,3692240.0,9.200306983883351,4.615947611710324,56.71319018404915,1421.732768579127,53372,443,6,23.049347979975508,17.293812583353613,116.80362045191264,305.19582522369666,1
192.168.0.18,192.16.65.151,1204,2459.0,77209,3454984.0,25.324189526184558,12.392188771358835,64.12707641196015,1405.0361935746225,53660,443,6,349.8514464465874,247.0852304016391,130.83816873690978,327.0329132583758,1
192.168.0.18,99.181.97.169,718,2313.0,41894,3384771.0,6.393305439330553,1.97923875432526,58.3481894150418,1463.3683527885826,53233,443,6,24.899941886644083,16.22295710660211,136.58001957484805,211.20867582077545,1
192.168.0.18,99.181.97.109,849,2269.0,54654,2966801.0,16.094339622641513,6.006172839506181,64.37455830388696,1307.5368003525796,53228,443,6,30.24606783755904,21.80144503351309,167.15809546731114,450.6555690070404,1
192.168.0.18,99.181.97.70,822,1979.0,46246,2762742.0,8.742996345919607,3.625379170879678,56.260340632603395,1396.0293077311774,53007,443,6,23.474344382361203,15.853614079946055,132.9409230525045,347.0844594504161,1
192.168.0.18,192.16.65.189,938,1884.0,61228,2453890.0,40.25080042689433,20.006372809346747,65.275053304904,1302.4893842887457,53693,443,6,469.64545645304264,332.84477935399934,161.96869480339447,452.3564411619377,1
192.168.0.18,192.16.65.43,712,1695.0,39726,2380513.0,8.015471167369903,3.3435655253837075,55.79494382022472,1404.4324483775833,53680,443,6,23.60278181913381,17.22122560274435,139.69275136715464,333.2025808234064,1
192.168.0.18,99.181.97.143,679,1697.0,37666,2366153.0,7.134218289085544,2.8331367924528292,55.472754050073654,1394.3152622274615,52998,443,6,18.303238695084445,12.421405487484959,134.9022001584695,348.3338021170956,1
192.168.0.18,99.181.97.106,619,1589.0,37917,2219738.0,11.477346278317158,4.463476070528964,61.25525040387723,1396.9402139710517,53020,443,6,27.789734437558828,18.876290820579513,156.09142656567568,348.09281142454734,1
192.168.0.18,192.16.65.27,777,1505.0,48670,2168802.0,13.507731958762895,7.9481382978723385,62.63835263835267,1441.0644518272418,53561,443,6,56.304104630161625,45.274750473789396,150.94501020073238,266.83371827829643,1
192.168.0.18,192.16.65.115,694,1659.0,43666,2164119.0,13.870129870129876,5.780458383594696,62.91930835734868,1304.4719710669087,53689,443,6,27.053797605280888,20.501292875486236,160.68060276749603,457.25195405303214,1
192.168.0.18,99.181.97.106,582,1625.0,39129,2132776.0,18.347676419965588,6.511699507389162,67.23195876288659,1312.4775384615375,53453,443,6,35.66118747329457,24.12423914193056,174.16199991008338,447.0465596516765,1
192.168.0.18,192.16.65.30,459,1201.0,29917,1621516.0,13.73362445414847,6.026666666666673,65.17864923747271,1350.1382181515387,53695,443,6,34.06588744611011,24.55021825909832,159.24687208243827,405.77037950030615,1
192.168.0.18,99.181.97.176,406,1119.0,27341,1596314.0,13.632098765432096,5.0071556350626185,67.34236453201969,1426.5540661304744,53161,443,6,50.56449128588285,35.10424356857533,172.98869877688148,295.0416065971612,1
192.168.0.18,99.181.97.69,430,1146.0,30500,1526480.0,16.631701631701624,6.224454148471612,70.93023255813951,1332.0069808027922,53506,443,6,33.625473239827535,24.167960413795786,185.87376915052013,426.1225954191725,1
192.168.0.18,99.181.97.106,422,1024.0,28553,1511707.0,12.58669833729216,5.148582600195507,67.66113744075821,1476.2763671874993,53114,443,6,26.002018488987346,20.255689820455764,181.6569588403929,169.77412625985784,1
192.168.0.18,99.181.97.106,399,1093.0,30285,1453594.0,21.298994974874372,7.76373626373626,75.90225563909776,1329.9121683440085,53454,443,6,52.465976010990886,39.435069374458145,201.1058447032155,431.1067446069115,1
192.168.0.18,99.181.97.74,433,1061.0,27761,1429345.0,149.95138888888889,61.113207547169814,64.11316397228639,1347.1677662582465,53015,443,6,1170.8571968253411,750.6703459483451,165.37185549602313,413.2431009795269,1
192.168.0.18,199.232.50.167,498,1007.0,353614,986863.0,593.4748490945673,293.18389662027823,710.0682730923703,980.0029791459776,53078,443,6,1715.9880406096509,1260.4611731955315,658.7838403049295,642.1579989514718,1
